x,y,m
-42.025,-22.97,-96.48088734836007
-42.025,-22.965999999999998,-96.58407110892026
-42.025,-22.962,-96.61735067306694
-42.025,-22.958,-96.56975993833667
-42.025,-22.954,-96.45651523739484
-42.025,-22.95,-96.31405902716469
-42.025,-22.945999999999998,-96.1879202806787
-42.025,-22.942,-96.11790868787074
-42.025,-22.938,-96.12575286600722
-42.025,-22.934,-96.20878588828265
-42.025,-22.93,-96.34099959657621
-42.02424,-22.97,-96.47067732722289
-42.02424,-22.965999999999998,-96.57192414538704
-42.02424,-22.962,-96.6029844542593
-42.02424,-22.958,-96.55360337987078
-42.02424,-22.954,-96.43959378804276
-42.02424,-22.95,-96.29765751859354
-42.02424,-22.945999999999998,-96.17314418052602
-42.02424,-22.942,-96.10531916933225
-42.02424,-22.938,-96.11520756717832
-42.02424,-22.934,-96.1995137969382
-42.02424,-22.93,-96.33185187788843
-42.02348,-22.97,-96.46145910491265
-42.02348,-22.965999999999998,-96.56086811288118
-42.02348,-22.962,-96.58964499467974
-42.02348,-22.958,-96.53826355009537
-42.02348,-22.954,-96.42319716095322
-42.02348,-22.95,-96.28150041924796
-42.02348,-22.945999999999998,-96.15843585217662
-42.02348,-22.942,-96.0927826538161
-42.02348,-22.938,-96.10486550010017
-42.02348,-22.934,-96.19070915275351
-42.02348,-22.93,-96.32346470863332
-42.02272,-22.97,-96.45337685104178
-42.02272,-22.965999999999998,-96.55107499694093
-42.02272,-22.962,-96.57753850360022
-42.02272,-22.958,-96.52397634950852
-42.02272,-22.954,-96.4075766001558
-42.02272,-22.95,-96.26583485235172
-42.02272,-22.945999999999998,-96.1440203243946
-42.02272,-22.942,-96.0804915111373
-42.02272,-22.938,-96.0948863284484
-42.02272,-22.934,-96.18250898043348
-42.02272,-22.93,-96.31596935362285
-42.02196,-22.97,-96.44655710580616
-42.02196,-22.965999999999998,-96.54269747350062
-42.02196,-22.962,-96.56685259306353
-42.02196,-22.958,-96.51096200055215
-42.02196,-22.954,-96.39297191548029
-42.02196,-22.95,-96.25090072499529
-42.02196,-22.945999999999998,-96.13011821602184
-42.02196,-22.942,-96.0686341684354
-42.02196,-22.938,-96.08542376966393
-42.02196,-22.934,-96.17504057045738
-42.02196,-22.93,-96.30948299914027
-42.0212,-22.97,-96.44110661789944
-42.0212,-22.965999999999998,-96.53586633915937
-42.0212,-22.962,-96.557753187406
-42.0212,-22.958,-96.49942149052143
-42.0212,-22.954,-96.37960766664757
-42.0212,-22.95,-96.23692694598384
-42.0212,-22.945999999999998,-96.11694226620168
-42.0212,-22.942,-96.05739212696153
-42.0212,-22.938,-96.07662311676158
-42.0212,-22.934,-96.16841936823283
-42.0212,-22.93,-96.30410676000275
-42.02044,-22.97,-96.43711052257306
-42.02044,-22.965999999999998,-96.53068829884249
-42.02044,-22.962,-96.55038177093162
-42.02044,-22.958,-96.48953330258801
-42.02044,-22.954,-96.36768956983391
-42.02044,-22.95,-96.22412780557477
-42.02044,-22.945999999999998,-96.10469399072889
-42.02044,-22.942,-96.04693710605008
-42.02044,-22.938,-96.06861892488058
-42.02044,-22.934,-96.16274708946192
-42.02044,-22.93,-96.29992397814239
-42.01968,-22.97,-96.434630899804
-42.01968,-22.965999999999998,-96.5272441582521
-42.01968,-22.962,-96.54485302968241
-42.01968,-22.958,-96.48145049771644
-42.01968,-22.954,-96.35740119234895
-42.01968,-22.95,-96.2126995807689
-42.01968,-22.945999999999998,-96.09356052212593
-42.01968,-22.942,-96.03742836369777
-42.01968,-22.938,-96.06153290423656
-42.01968,-22.934,-96.15811009838684
-42.01968,-22.93,-96.29699884870722
-42.01892,-22.97,-96.4337057435032
-42.01892,-22.965999999999998,-96.52558745993421
-42.01892,-22.962,-96.5412529358457
-42.01892,-22.958,-96.47529820434974
-42.01892,-22.954,-96.34890099654156
-42.01892,-22.95,-96.20281742612364
-42.01892,-22.945999999999998,-96.0837116873621
-42.01892,-22.942,-96.02901023866784
-42.01892,-22.938,-96.05547205522167
-42.01892,-22.934,-96.15457807812955
-42.01892,-22.93,-96.29537540106747
-42.01816,-22.97,-96.43434836266107
-42.01816,-22.965999999999998,-96.52574359194483
-42.01816,-22.962,-96.53963731443949
-42.01816,-22.958,-96.47117156524097
-42.01816,-22.954,-96.34231978797207
-42.01816,-22.95,-96.19463260498136
-42.01816,-22.945999999999998,-96.07529737231275
-42.01816,-22.942,-96.02180995363196
-42.01816,-22.938,-96.05052707474938
-42.01816,-22.934,-96.15220301419038
-42.01816,-22.93,-96.29507685270144
-42.0174,-22.97,-96.4365472246769
-42.0174,-22.965999999999998,-96.52770938732908
-42.0174,-22.962,-96.5400309217877
-42.0174,-22.958,-96.46913418189324
-42.0174,-22.954,-96.3377586153915
-42.0174,-22.95,-96.1882701096732
-42.0174,-22.945999999999998,-96.06844521625445
-42.0174,-22.942,-96.01593571277775
-42.0174,-22.938,-96.04677105585148
-42.0174,-22.934,-96.15101850369334
-42.0174,-22.93,-96.29610534413204
-42.01664,-22.97,-96.44026624027005
-42.01664,-22.965999999999998,-96.53145322130935
-42.01664,-22.962,-96.54242705426209
-42.01664,-22.958,-96.46921708699595
-42.01664,-22.954,-96.33528716134116
-42.01664,-22.95,-96.1838267118298
-42.01664,-22.945999999999998,-96.06325867307639
-42.01664,-22.942,-96.01147512076312
-42.01664,-22.938,-96.04425849530315
-42.01664,-22.934,-96.15103939452597
-42.01664,-22.93,-96.29844205330575
-42.01588,-22.97,-96.44544547874851
-42.01588,-22.965999999999998,-96.53691560162385
-42.01588,-22.962,-96.54678769418199
-42.01588,-22.958,-96.47141826430085
-42.01588,-22.954,-96.33494265246179
-42.01588,-22.95,-96.18136947559609
-42.01588,-22.945999999999998,-96.0598154686537
-42.01588,-22.942,-96.00849394311754
-42.01588,-22.938,-96.04302461695275
-42.01588,-22.934,-96.1522617504605
-42.01588,-22.93,-96.30204767843729
-42.015119999999996,-22.97,-96.4520022924075
-42.015119999999996,-22.965999999999998,-96.54401023627551
-42.015119999999996,-22.962,-96.55304418801855
-42.015119999999996,-22.958,-96.47570272390541
-42.015119999999996,-22.954,-96.33672930815068
-42.015119999999996,-22.95,-96.18093475753237
-42.015119999999996,-22.945999999999998,-96.0581664761675
-42.015119999999996,-22.942,-96.00703522137424
-42.015119999999996,-22.938,-96.04308501171617
-42.015119999999996,-22.934,-96.15466313096596
-42.015119999999996,-22.93,-96.30686326975542
-42.014359999999996,-22.97,-96.45983281980985
-42.014359999999996,-22.965999999999998,-96.55262555242614
-42.014359999999996,-22.962,-96.5610984405316
-42.014359999999996,-22.958,-96.48200312925661
-42.014359999999996,-22.954,-96.34061833533093
-42.014359999999996,-22.95,-96.18252770752362
-42.014359999999996,-22.945999999999998,-96.05833502326803
-42.014359999999996,-22.942,-96.00711874955672
-42.014359999999996,-22.938,-96.04443558905999
-42.014359999999996,-22.934,-96.15820316797296
-42.014359999999996,-22.93,-96.31281138307155
-42.0136,-22.97,-96.46881382995247
-42.0136,-22.965999999999998,-96.56262663066398
-42.0136,-22.962,-96.57082459755834
-42.0136,-22.958,-96.49022096072524
-42.0136,-22.954,-96.3465484661144
-42.0136,-22.95,-96.18612227537444
-42.0136,-22.945999999999998,-96.0603166370576
-42.0136,-22.942,-96.00874091229377
-42.0136,-22.938,-96.0470528294003
-42.0136,-22.934,-96.16282441651373
-42.0136,-22.93,-96.31979752189477
-42.01284,-22.97,-96.47880486308544
-42.01284,-22.965999999999998,-96.5738575106788
-42.01284,-22.962,-96.58207118021811
-42.01284,-22.958,-96.50022818968016
-42.01284,-22.954,-96.35442702437255
-42.01284,-22.95,-96.19166171818868
