x,y,m
-41.992999999999995,-22.965999999999998,-111.15457328083933
-41.992999999999995,-22.962,-174.07892929041026
-41.992999999999995,-22.958,-232.60975987040806
-41.992999999999995,-22.954,-211.892293080554
-41.992999999999995,-22.95,-132.19672963080498
-41.992999999999995,-22.945999999999998,-74.93802841011379
-41.992999999999995,-22.942,-56.281667276562594
-41.992999999999995,-22.938,-61.058453406453324
-41.992999999999995,-22.934,-74.86087739407222
-41.992999999999995,-22.93,-84.41666445543235
-41.992,-22.97,-76.85008991841507
-41.992,-22.965999999999998,-110.55972233469087
-41.992,-22.962,-168.874159447108
-41.992,-22.958,-222.40882045865285
-41.992,-22.954,-205.8316092836498
-41.992,-22.95,-134.35969171604677
-41.992,-22.945999999999998,-84.64016156333378
-41.992,-22.942,-69.19696110302233
-41.992,-22.938,-68.42404436376164
-41.992,-22.934,-77.97526205593651
-41.992,-22.93,-85.57845535801245
-41.991,-22.97,-76.92709051443435
-41.991,-22.965999999999998,-110.63580503802615
-41.991,-22.962,-162.90899983695678
-41.991,-22.958,-210.44742815436499
-41.991,-22.954,-197.40755917045428
-41.991,-22.95,-134.44691589518303
-41.991,-22.945999999999998,-91.77777919242011
-41.991,-22.942,-79.73008692559131
-41.991,-22.938,-75.9207430607705
-41.991,-22.934,-81.8958473639769
-41.991,-22.93,-86.99805487180146
-41.989999999999995,-22.97,-77.05066951126625
-41.989999999999995,-22.965999999999998,-111.03673499213212
-41.989999999999995,-22.962,-156.20736292706113
-41.989999999999995,-22.958,-197.28994608043118
-41.989999999999995,-22.954,-186.93488928366946
-41.989999999999995,-22.95,-132.76086421971542
-41.989999999999995,-22.945999999999998,-96.70991709027001
-41.989999999999995,-22.942,-87.59711618904848
-41.989999999999995,-22.938,-83.19179448070282
-41.989999999999995,-22.934,-86.56426362337501
-41.989999999999995,-22.93,-88.59061154751298
-41.989,-22.97,-77.11781977363653
-41.989,-22.965999999999998,-110.79769904393473
-41.989,-22.962,-149.49469924471018
-41.989,-22.958,-183.67959224873155
-41.989,-22.954,-174.92309653210017
-41.989,-22.95,-129.7343585646711
-41.989,-22.945999999999998,-100.14651928648559
-41.989,-22.942,-93.28456819292548
-41.989,-22.938,-89.86890981083792
-41.989,-22.934,-91.75721156603828
-41.989,-22.93,-90.2988831322715
-41.988,-22.97,-77.04977039996646
-41.988,-22.965999999999998,-109.42473046979998
-41.988,-22.962,-143.95658288852462
-41.988,-22.958,-170.52353047717898
-41.988,-22.954,-162.07482818940971
-41.988,-22.95,-126.00684328599031
-41.988,-22.945999999999998,-102.94317515586198
-41.988,-22.942,-97.46312514133687
-41.988,-22.938,-95.54246539104673
-41.988,-22.934,-97.07202667467875
-41.988,-22.93,-91.99136029465363
-41.986999999999995,-22.97,-76.88481274155964
-41.986999999999995,-22.965999999999998,-107.37728637881334
-41.986999999999995,-22.962,-139.91007447488843
-41.986999999999995,-22.958,-158.8639270020922
-41.986999999999995,-22.954,-149.33330314009245
-41.986999999999995,-22.95,-122.42314834023034
-41.986999999999995,-22.945999999999998,-105.5939476817914
-41.986999999999995,-22.942,-100.67029042129234
-41.986999999999995,-22.938,-99.82597501239671
-41.986999999999995,-22.934,-101.95415220927651
-41.986999999999995,-22.93,-93.41277492554163
-41.986,-22.97,-76.76592385181422
-41.986,-22.965999999999998,-105.57849605792998
-41.986,-22.962,-137.03389648775692
-41.986,-22.958,-149.5521203326862
-41.986,-22.954,-137.78961117667933
-41.986,-22.95,-119.7517647845876
-41.986,-22.945999999999998,-108.21383492086028
-41.986,-22.942,-103.2326919362045
-41.986,-22.938,-102.37991433521371
-41.986,-22.934,-105.61117717790619
-41.986,-22.93,-94.15332795129885
-41.985,-22.97,-76.7722761706787
-41.985,-22.965999999999998,-104.72231176758756
-41.985,-22.962,-135.0629962158428
-41.985,-22.958,-142.72041309498357
-41.985,-22.954,-128.40495336474322
-41.985,-22.95,-118.13354209248855
-41.985,-22.945999999999998,-110.72788854280728
-41.985,-22.942,-105.27277777383593
-41.985,-22.938,-102.91204024536869
-41.985,-22.934,-107.01252979860443
-41.985,-22.93,-93.76273678849557
-41.983999999999995,-22.97,-76.76393937130217
-41.983999999999995,-22.965999999999998,-104.96072403364866
-41.983999999999995,-22.962,-133.81739729052794
-41.983999999999995,-22.958,-137.83363784807068
-41.983999999999995,-22.954,-121.6037428129385
-41.983999999999995,-22.95,-117.23730772805199
-41.983999999999995,-22.945999999999998,-112.98523369650448
-41.983999999999995,-22.942,-106.67338975513492
-41.983999999999995,-22.938,-101.06735021501554
-41.983999999999995,-22.934,-105.03652618411238
-41.983999999999995,-22.93,-91.57512557889494
-41.983,-22.97,-76.51097105765541
-41.983,-22.965999999999998,-106.11112815564115
-41.983,-22.962,-133.03561537399028
-41.983,-22.958,-134.18166272428059
-41.983,-22.954,-117.07698657142004
-41.983,-22.95,-116.75053678251851
-41.983,-22.945999999999998,-114.85342457866648
-41.983,-22.942,-107.05980693221919
-41.983,-22.938,-96.35265569766538
-41.983,-22.934,-98.71534889728987
-41.983,-22.93,-86.48885658572286
-41.982,-22.97,-75.89936155989338
-41.982,-22.965999999999998,-107.99828252448843
-41.982,-22.962,-132.22669699282412
-41.982,-22.958,-131.03574890861265
-41.982,-22.954,-113.84332319538021
-41.982,-22.95,-116.59969958128504
-41.982,-22.945999999999998,-116.28361467840001
-41.982,-22.942,-105.54302184035959
