North(m),East(m),Anomalia Magnética(nT)
-2549436.9,-4664997.0,-98.01366918182607
-2549359.1999999997,-4664997.0,-140.8606950273917
-2549281.5,-4664997.0,-167.3232915326449
-2549203.8,-4664997.0,-177.73006344499927
-2549126.1,-4664997.0,-172.70774725569257
-2549048.4,-4664997.0,-160.46809236809446
-2548970.6999999997,-4664997.0,-164.0585217324659
-2548892.9999999995,-4664997.0,-170.39377240139805
-2548815.3,-4664997.0,-149.29385827314303
-2548737.5999999996,-4664997.0,-125.58259365665931
-2548659.9,-4664997.0,-128.51999470561094
-2548582.2,-4664997.0,-135.39359310076378
-2548504.5,-4664997.0,-130.30655735825275
-2548426.8,-4664997.0,-122.10225012262428
-2548349.0999999996,-4664997.0,-119.25746624369917
-2548271.4,-4664997.0,-122.2894767566949
-2548193.6999999997,-4664997.0,-129.59179674550126
-2548116.0,-4664997.0,-136.6326482843866
-2548038.3,-4664997.0,-140.5356178363933
-2547960.6,-4664997.0,-141.5383427115652
-2547882.9,-4664997.0,-133.54803237697664
-2547805.1999999997,-4664997.0,-114.2299440834608
-2547727.5,-4664997.0,-88.14761373690186
-2547649.8,-4664997.0,-68.56311048678307
-2547572.1,-4664997.0,-63.34476182794862
-2547494.4,-4664997.0,-83.39011684639512
-2547416.7,-4664997.0,-108.65350207423548
-2547339.0,-4664997.0,-127.7543261783499
-2547261.3,-4664997.0,-164.62546971386487
-2547183.5999999996,-4664997.0,-198.57867530771327
-2547105.9,-4664997.0,-205.45133635048558
-2547028.1999999997,-4664997.0,-188.8674678887429
-2546950.5,-4664997.0,-172.01770862504
-2546872.8,-4664997.0,-163.2223702822883
-2546795.1,-4664997.0,-153.44501573084068
-2546717.4,-4664997.0,-137.42911307100118
-2546639.6999999997,-4664997.0,-116.15020455774123
-2546562.0,-4664997.0,-95.56465183681529
-2546484.3,-4664997.0,-84.39431381408593
-2546406.6,-4664997.0,-77.22485736419495
-2546328.9,-4664997.0,-72.22998154508349
-2546251.2,-4664997.0,-39.009935262929474
-2546173.4999999995,-4664997.0,23.347890602377788
-2546095.8,-4664997.0,77.46249310645692
-2546018.0999999996,-4664997.0,114.89488857849284
-2545940.4,-4664997.0,123.78953403311652
-2545862.6999999997,-4664997.0,117.00230459890625
-2545785.0,-4664997.0,116.86180085252244
-2549670.0,-4664886.0,-90.51483893202501
-2549592.3000000003,-4664886.0,-92.77618791249294
-2549514.5999999996,-4664886.0,-105.09906737344289
-2549436.9,-4664886.0,-120.13641261275646
-2549359.1999999997,-4664886.0,-138.8211631270785
-2549281.5,-4664886.0,-160.47292154931634
-2549203.8,-4664886.0,-168.28943299384682
-2549126.1,-4664886.0,-182.23527142157712
-2549048.4,-4664886.0,-194.19045681548675
-2548970.6999999997,-4664886.0,-197.64555447876424
-2548892.9999999995,-4664886.0,-187.27352609232543
-2548815.3,-4664886.0,-164.84636358486824
-2548737.5999999996,-4664886.0,-151.49774338412155
-2548659.9,-4664886.0,-148.9488768404039
-2548582.2,-4664886.0,-149.90879343609973
-2548504.5,-4664886.0,-144.67595235711784
-2548426.8,-4664886.0,-134.4030095865928
-2548349.0999999996,-4664886.0,-122.74034045312648
-2548271.4,-4664886.0,-118.17312732880985
-2548193.6999999997,-4664886.0,-124.17471312278313
-2548116.0,-4664886.0,-129.32078805508266
-2548038.3,-4664886.0,-133.82428906694727
-2547960.6,-4664886.0,-148.12270040539047
-2547882.9,-4664886.0,-156.06085225494627
-2547805.1999999997,-4664886.0,-137.20700204837442
-2547727.5,-4664886.0,-103.02278845475736
-2547649.8,-4664886.0,-77.50042855355976
-2547572.1,-4664886.0,-59.98189610385546
-2547494.4,-4664886.0,-53.001934166209075
-2547416.7,-4664886.0,-55.962714182041815
-2547339.0,-4664886.0,-62.97918875335081
-2547261.3,-4664886.0,-112.86036116059282
-2547183.5999999996,-4664886.0,-195.65462753828723
-2547105.9,-4664886.0,-218.9661021380613
-2547028.1999999997,-4664886.0,-200.55437700468087
-2546950.5,-4664886.0,-179.5803106065362
-2546872.8,-4664886.0,-166.5827395303208
-2546795.1,-4664886.0,-160.942370434369
-2546717.4,-4664886.0,-154.0771110128359
-2546639.6999999997,-4664886.0,-137.61921670768047
-2546562.0,-4664886.0,-126.33721092879392
-2546484.3,-4664886.0,-130.22647311998776
-2546406.6,-4664886.0,-124.25726012639896
-2546328.9,-4664886.0,-95.13893048222204
-2546251.2,-4664886.0,-60.43484356934374
-2546173.4999999995,-4664886.0,-26.735255147737405
-2546095.8,-4664886.0,12.461692379530792
-2546018.0999999996,-4664886.0,55.29212454509732
-2545940.4,-4664886.0,73.51652478917183
-2545862.6999999997,-4664886.0,77.84592901019592
-2545785.0,-4664886.0,87.23119713263976
-2549670.0,-4664775.0,-92.98821845398837
-2549592.3000000003,-4664775.0,-99.60075283255601
-2549514.5999999996,-4664775.0,-115.03998426995035
-2549436.9,-4664775.0,-119.55055581616821
-2549359.1999999997,-4664775.0,-107.53217392066125
-2549281.5,-4664775.0,-118.11214422462741
-2549203.8,-4664775.0,-161.55603697467117
-2549126.1,-4664775.0,-187.57639160647403
-2549048.4,-4664775.0,-204.6176513824289
-2548970.6999999997,-4664775.0,-206.4454003079537
-2548892.9999999995,-4664775.0,-190.86967837971235
-2548815.3,-4664775.0,-186.61469129646431
-2548737.5999999996,-4664775.0,-187.85701819560313
-2548659.9,-4664775.0,-176.77519858078125
-2548582.2,-4664775.0,-163.00615267936593
-2548504.5,-4664775.0,-151.1168449222949
-2548426.8,-4664775.0,-138.80493604686498
-2548349.0999999996,-4664775.0,-130.5231669803245
-2548271.4,-4664775.0,-119.55678981247237
-2548193.6999999997,-4664775.0,-106.79742543726495
-2548116.0,-4664775.0,-108.51920049945322
